,time_stamp,id,age,gender,word,keypress,reaction_time
0,2024-02-17_22h44.14.458,0,,Female,guitar,['space'],1.45800004247576e-06
1,2024-02-17_22h44.14.458,0,,Female,chair,['space'],1.4590041246265173e-06
2,2024-02-17_22h44.14.458,0,,Female,notebook,['space'],1.4160032151266932e-06
3,2024-02-17_22h44.14.458,0,,Female,run,['space'],1.624997821636498e-06
4,2024-02-17_22h44.14.458,0,,Female,dance,['space'],1.5829864423722029e-06
5,2024-02-17_22h44.14.458,0,,Female,science,['space'],1.7089914763346314e-06
6,2024-02-17_22h44.14.458,0,,Female,icecream,['space'],1.6669946489855647e-06
7,2024-02-17_22h44.14.458,0,,Female,story,['y'],1.5420082490891218e-06
8,2024-02-17_22h44.14.458,0,,Female,backpack,['y'],1.3749959180131555e-06
9,2024-02-17_22h44.14.458,0,,Female,cat,['y'],1.5420082490891218e-06
10,2024-02-17_22h44.14.458,0,,Female,backpack,['y'],1.4169927453622222e-06
11,2024-02-17_22h44.14.458,0,,Female,attendance,['y'],1.45800004247576e-06
12,2024-02-17_22h44.14.458,0,,Female,chair,['y'],1.2499949662014842e-06
13,2024-02-17_22h44.14.458,0,,Female,beach,['y'],1.3329990906640887e-06
14,2024-02-17_22h44.14.458,0,,Female,language,['y'],1.3329990906640887e-06
15,2024-02-17_22h44.14.458,0,,Female,bell,['y'],1.2500095181167126e-06
16,2024-02-17_22h44.14.458,0,,Female,biology,['y'],1.3749959180131555e-06
17,2024-02-17_22h44.14.458,0,,Female,moon,['y'],1.45800004247576e-06
18,2024-02-17_22h44.14.458,0,,Female,train,['y'],1.3749959180131555e-06
19,2024-02-17_22h44.14.458,0,,Female,cup,['y'],1.3749959180131555e-06
20,2024-02-17_22h44.14.458,0,,Female,tree,['y'],1.4169927453622222e-06
21,2024-02-17_22h44.14.458,0,,Female,desk,['y'],1.45800004247576e-06
22,2024-02-17_22h44.14.458,0,,Female,geometry,['y'],1.5410041669383645e-06
23,2024-02-17_22h44.14.458,0,,Female,bridge,['y'],1.458989572711289e-06
24,2024-02-17_22h44.14.458,0,,Female,letter,['y'],1.5420082490891218e-06
25,2024-02-17_22h44.14.458,0,,Female,song,['y'],1.3749959180131555e-06
26,2024-02-17_22h44.14.458,0,,Female,diploma,['y'],1.5830009942874312e-06
27,2024-02-17_22h44.14.458,0,,Female,sleep,['y'],1.3749959180131555e-06
28,2024-02-17_22h44.14.458,0,,Female,ball,['y'],1.4590041246265173e-06
29,2024-02-17_22h44.14.458,0,,Female,schoolbus,['y'],1.45800004247576e-06
30,2024-02-17_22h44.14.458,0,,Female,ocean,['y'],1.4590041246265173e-06
31,2024-02-17_22h44.14.458,0,,Female,physicaleducation,['y'],1.4169927453622222e-06
32,2024-02-17_22h44.14.458,0,,Female,pizza,['y'],1.334003172814846e-06
33,2024-02-17_22h44.14.458,0,,Female,hat,['y'],1.3329990906640887e-06
34,2024-02-17_22h44.14.458,0,,Female,spelling,['y'],1.3749959180131555e-06
35,2024-02-17_22h44.14.458,0,,Female,music,['y'],1.3749959180131555e-06
36,2024-02-17_22h44.14.458,0,,Female,teacher,['y'],1.45800004247576e-06
37,2024-02-17_22h44.14.458,0,,Female,homework,['y'],1.291002263315022e-06
38,2024-02-17_22h44.14.458,0,,Female,recess,['y'],1.334003172814846e-06
39,2024-02-17_22h44.14.458,0,,Female,principal,['y'],1.4169927453622222e-06
40,2024-02-17_22h44.14.458,0,,Female,river,['y'],1.2920063454657793e-06
41,2024-02-17_22h44.14.458,0,,Female,graduation,['y'],1.2500095181167126e-06
42,2024-02-17_22h44.14.458,0,,Female,smile,['y'],1.3750104699283838e-06
43,2024-02-17_22h44.14.458,0,,Female,quiz,['y'],1.2500095181167126e-06
44,2024-02-17_22h44.14.458,0,,Female,fire,['y'],1.2500095181167126e-06
45,2024-02-17_22h44.14.458,0,,Female,clock,['y'],1.2920063454657793e-06
46,2024-02-17_22h44.14.458,0,,Female,geography,['y'],1.291002263315022e-06
47,2024-02-17_22h44.14.458,0,,Female,exam,['y'],1.2079981388524175e-06
48,2024-02-17_22h44.14.458,0,,Female,mountain,['y'],1.2079981388524175e-06
49,2024-02-17_22h44.14.458,0,,Female,lunchbox,['y'],1.291002263315022e-06
50,2024-02-17_22h44.14.458,0,,Female,game,['y'],1.458989572711289e-06
51,2024-02-17_22h44.14.458,0,,Female,key,['y'],1.334003172814846e-06
52,2024-02-17_22h44.14.458,0,,Female,library,['space'],1.4590041246265173e-06
53,2024-02-17_22h44.14.458,0,,Female,candy,['space'],1.500011421740055e-06
54,2024-02-17_22h44.14.458,0,,Female,algebra,['space'],1.4169927453622222e-06
55,2024-02-17_22h44.14.458,0,,Female,car,['space'],1.3749959180131555e-06
56,2024-02-17_22h44.14.458,0,,Female,literature,['space'],1.3749959180131555e-06
57,2024-02-17_22h44.14.458,0,,Female,laugh,['space'],1.291991793550551e-06
58,2024-02-17_22h44.14.458,0,,Female,bird,['space'],1.4590041246265173e-06
59,2024-02-17_22h44.14.458,0,,Female,pta,['space'],1.4169927453622222e-06
60,2024-02-17_22h44.14.458,0,,Female,lamp,['space'],1.3749959180131555e-06
61,2024-02-17_22h44.14.458,0,,Female,playground,['space'],1.4170072972774506e-06
62,2024-02-17_22h44.14.458,0,,Female,color,['space'],1.291002263315022e-06
63,2024-02-17_22h44.14.458,0,,Female,learning,['space'],1.4169927453622222e-06
64,2024-02-17_22h44.14.458,0,,Female,flower,['space'],1.45800004247576e-06
65,2024-02-17_22h44.14.458,0,,Female,park,['space'],1.4999968698248267e-06
66,2024-02-17_22h44.14.458,0,,Female,chemistry,['space'],1.4170072972774506e-06
67,2024-02-17_22h44.14.458,0,,Female,clock,['space'],1.6669946489855647e-06
68,2024-02-17_22h44.14.458,0,,Female,cafeteria,['space'],1.3749959180131555e-06
69,2024-02-17_22h44.14.458,0,,Female,history,['space'],1.4999968698248267e-06
70,2024-02-17_22h44.14.458,0,,Female,cloud,['space'],1.500011421740055e-06
71,2024-02-17_22h44.14.458,0,,Female,project,['space'],1.3749959180131555e-06
72,2024-02-17_22h44.14.458,0,,Female,blackboard,['space'],1.2499949662014842e-06
73,2024-02-17_22h44.14.458,0,,Female,art,['space'],1.4169927453622222e-06
74,2024-02-17_22h44.14.458,0,,Female,house,['space'],1.5419936971738935e-06
75,2024-02-17_22h44.14.458,0,,Female,bear,['space'],1.791995600797236e-06
76,2024-02-17_22h44.14.458,0,,Female,schoolwork,['space'],1.5420082490891218e-06
77,2024-02-17_22h44.14.458,0,,Female,duck,['space'],1.4170072972774506e-06
78,2024-02-17_22h44.14.458,0,,Female,student,['space'],1.4590041246265173e-06
79,2024-02-17_22h44.14.458,0,,Female,star,['space'],1.291002263315022e-06
80,2024-02-17_22h44.14.458,0,,Female,pencil,['space'],1.291002263315022e-06
81,2024-02-17_22h44.14.458,0,,Female,rain,['space'],1.3750104699283838e-06
82,2024-02-17_22h44.14.458,0,,Female,mathematics,['space'],1.3749959180131555e-06
83,2024-02-17_22h44.14.458,0,,Female,shoe,['space'],1.500011421740055e-06
84,2024-02-17_22h44.14.458,0,,Female,sky,['space'],1.3749959180131555e-06
85,2024-02-17_22h44.14.458,0,,Female,physics,['space'],1.3339886208996177e-06
86,2024-02-17_22h44.14.458,0,,Female,notebook,['space'],1.2499949662014842e-06
87,2024-02-17_22h44.14.458,0,,Female,baby,['space'],1.291002263315022e-06
88,2024-02-17_22h44.14.458,0,,Female,uniform,['space'],1.334003172814846e-06
89,2024-02-17_22h44.14.458,0,,Female,apple,['space'],1.3749959180131555e-06
